doi,text
10.1093/nar/gky807,He; Y.; Chen; D.; Huang; P-J. J.; Zhou; Y.; Ma; L.; Xu; K.; Yang; R.; Liu; J. Misfolding of a DNAzyme for Ultrahigh Sodium Selectivity Over Potassium; Nucleic Acids Res; 2018; 46; 10262- 10271.
10.5194/essd-2018-45,Hernández-Henríquez MA; Sharma AR; Taylor M; Thompson HD; Déry SJ. 2018. The Cariboo Alpine Mesonet: Sub-hourly hydrometeorological observations of British Columbia’s Cariboo Mountains and surrounding area since 2006. Earth System Science Data; 10; 1655–1672.
10.5194/essd-10-1655-2018,Hernández-Henríquez; M A; Sharma; A R; Taylor; M; Thompson; H D and Déry; S J (2018) The Cariboo Alpine Mesonet: Sub-hourly hydrometeorological observations of British Columbia's Cariboo Mountains and surrounding area since 2006; Earth System Science Data; 10; 1655-1672;
10.1016/j.ecolind.2018.08.017,Ho; E. (2018). Criteria-based ranking (CBR): A comprehensive process for selecting and prioritizing monitoring indicators. MethodsX; 5: 1234-1329. J8. Ho; E.; Eger; S.; and Courtenay; S. (2018). Assessing current monitoring indicators and reporting for cumulative effects integration: A case study in Muskoka; Ontario; Canada. Ecological Indicators; 95: 862-876.
10.1002/eco.1942,Hokanson; K. J.; Moore; P. A.; Lukenbach; M. C.; Devito; K. J.; Kettridge; N.; Petrone; R. M.; ... & Waddington; J. M. (2018). A hydrogeological landscape framework to identify peatland wildfire smouldering hot spots. Ecohydrology; 11(4); e1942.
,Hu; D.; I.-C. Lou; M. Guo; W.-K. Ung; Y.-J. Kong; K.-M. Mok; J.P. Giesy and S.; M.-Y. Lee. 2018. Temporal Changes in Microbial Community Composition in Eutrophic Reservoirs of Macau Determined by 16s rRNA Gene Sequences and Viral Metagenomics. (2018). Nature: Scientific Reports (In Press).
10.3389/fchem.2019.00198,Hu; S.; Huang; P-J.J.; Wang; J.; Liu; J. Phosphorothioate DNA Mediated Sequence-Insensitive Etching and Ripening of Silver Nanoparticles; Frontiers in Chemistry; 2019; in press.
10.1021/acs.biochem.8b00900,Huang; P-J.J.; Moon; W.J.; Liu; J. Instantaneous Iodine-Assisted DNAzyme Cleavage of Phosphorothioate RNA; Biochemistry; 2019; 58; 422-429.
10.1029/2018WR023815,Ilampooranan; I.; Van Meter; K. J.; & Basu; N. B. (2019). A Race against Time: Modelling Time Lags in	Watershed	Response.	Water	Resources	Research;	55.
10.1029/2018JG004716,Ingram; R. C.; Moore; P. A.; Wilkinson; S.; Petrone; R. M.; & Waddington; J. M. (2019). Post�fire soil carbon accumulation does not recover BOREAL peatland combustion loss in some hydrogeological settings. Journal of Geophysical Research: Biogeosciences.
10.5194/hess-23-811-2019,Islam SU; Curry CL; Déry SJ; Zwiers FW. 2019. Quantifying projected changes in runoff variability and flow regimes of the Fraser River Basin; British Columbia. Hydrology and Earth System Sciences;23; 811-828;
10.5194/hess-23-811-2019,Islam SU; Curry CL; Déry SJ; Zwiers FW. 2019. Quantifying projected changes in runoff variability and flow regimes of the Fraser River Basin; British Columbia; Hydrology and Earth System Sciences; 23; 811-828;
,Jawed; Z. and Krantzberg; G. (2019). A comparative analysis of practitioners' experience in sediment remediation projects to highlight best practices; Water Quality Research Journal; 54(1); 10-33.
,Jawed; Z. and Krantzberg; G. (2019). A Decision Support System Framework for Contaminated Sediment Management; Great Lakes Research Journal Special Edition (Submitted and Under Review)
,Jawed; Z. and Krantzberg; G. (2019). Public Participation in Sediment Remediation Projects: Encouraging Transparent Decision-Making; Journal of Environmental Sciences and Policy (Submitted and Under Review)
10.3316/QRJ0902027,Jawed; Z. and Krantzberg; G. (2019). Using Qualitative Document Analysis to Understand Sediment Remediation Policies in North America; Water Quality Research Journal (Accepted and under final revisions)
,Jenny; J.P.; Anneville; O.; Baulaz Y.; Bouffard; D.; Domaizon; I.; Dunlop; E.; Dur; G.; Bocaniov; S.; Chèvre; N.; Maria; D.; Dorioz; J.M.; Guillard; J.; Gregory-Eaves; I.; Jawed Z.; Jamoneau; A.; Jacquet; S.; Jeppesen; E.; Krantzberg; G.; Lenters; J.; Leoni; B.; Meybeck; M.; Nava; V.; Nõges; T.; Nõges; P.; Patelli; M.; Twiss; M.; Pebbles; V.; Marie-Elodie; M.; Thibault; G.; Uzarski; D.; Ruetz; C.; Rudstam; L.; Salmaso; N.; Sapna; S.; Straile; D.; Tammeorg; O.; Twiss; M.; Ventela; A.M.; Vincent; W.V.; Wilhelm; S.W.; Wängberg; S.A.; Weyhenmeyer; G. (2019). Scientists’ warning to humanity: sentinel of degradation from the world’s great lakes (Plans to submit to the Journal of Great Lakes Research; Special Edition; May 2019)
,Jitnikovitch; P. Marsh; *B. Walker; D. Deilets. (2019). Ground-based cosmic ray sensors for the continuous measurement of Arctic snow accumulation and melt. Arctic Science; in preparation.
,Judith F. Islam; Manishankar Mondal; Chanchal K. Roy and Kevin Schneider; "Comparing Bug Replication in Regular and Micro Code Clones"; In Proc. of the 27th IEEE/ACM International Conference on Program Comprehension (ICPC 2019); Montreal; May; 2019; 12 pp. (to appear).
10.1016/j.envsoft.2019.03.007,Kahsay; T.; Arjoon; D.; Kuik; O.; Brouwer; R.; Tilmant; A.; van der Zaag; P. (2019). A hybrid partial and general equilibrium modeling approach to assess the hydro-economic impacts of large dams–the case of the Eastern Nile River basin. Environmental Modelling and Software; 117: 76-88.
10.1007/s11269-017-1847-7,Kahsay; T.; Kuik; O.; Brouwer; R.; van der Zaag; P. (2018). The transboundary impacts of trade liberalization and climate change on the Nile Basin economies and water resource availability. Water Resources Management; 32(3): 935-947.
,Kang; K.-K.; M. Hoekstra; M. Foroutan; A.M. Chegoonian; K. Zolfaghari; and C.R. Duguay; 2019 (in press). Operating procedures and calibration of a hyperspectral sensor onboard a remotely piloted aircraft system for water and agriculture monitoring. Proceedings of 2019 IEEE International Geoscience & Remote Sensing Symposium; Yokohama; Japan (4 pages).
,Kawser Wazed; Banani Roy; Chanchal K. Roy and Kevin A. Schneider. CroLSim: Cross Language Software Similarity Detector Using API Documentation. In Proc. of the 18th IEEE International Working Conference on Source Code Analysis and Manipulation (SCAM 2018); pp. 139-148.
10.1088/2515-7620/ab37e7,Kay ML; JA Wiklund; *CR Remmer; *LK Neary; K Brown; A Ghosh; E MacDonald; K Thomson; JM Vucic; K Wesenberg; BB Wolfe and RI Hall. Bi-directional hydrological changes in perched basins of the Athabasca Delta (Canada) in recent decades caused by natural processes. Environmental Research Letters.
10.1101/674325,Kehoe; MJ; Ingalls; B; Venkiteswaran; J; Baulch H. Forecasting of harmful cyanobacteria blooms with high frequency lake data. Submission to Environmental modelling & software in May 2019 (currently in coauthor review).
10.1038/s41598-019-40033-7,Kettridge; N.; Lukenbach; M. C.; Hokanson; K. J.; Devito; K. J.; Petrone; R. M.; Mendoza; C. A.; & Waddington; J. M. (2019). Severe wildfire exposes remnant peat carbon stocks to increased post-fire drying. Nature Scientific reports; 9(1); 3727.
10.1016/j.rse.2018.05.028,King; J.; C. Derksen; P. Toose; A. Langlois; C. Larsen; J. Lemmetyinen; P. Marsh; B. Montpetit; A. Roy; N. Rutter; and M. Sturm. (2018). The influence of snow microstructure on dual- frequency radar measurements in a tundra environment. Remote Sensing of Environment.
10.1175/BAMS-D-18-0268.1,Knox; S.H.; Jackson; R.B.; Poulter; B. et al. incl. Sonnentag; O. FLUXNET-CH4 Synthesis Activity: objectives; observations; and Future Directions. Bulletin of the American Meteorological Society; in review
10.1080/07055900.2019.1576023,Kochtubajda; B.; Stewart; R. E.; Flannigan; M. D.; Bonsal; B. R.; Cuell; C.; & Mooney; C. J. (2019). An Assessment of Surface and Atmospheric Conditions Associated with the Extreme 2014 Wildfire Season in Canada’s Northwest Territories. Atmosphere-Ocean; 1-18.
10.1002/hyp.13347,Kokulan; V.; Macrae; M.L.; Ali; G.A.; and Lobb; D.A. (2018). Hydroclimatic controls on runoff activation in an artificially drained; near-level vertisolic clay landscape in a Prairie climate. Hydrological Processes; 33(4); 602-615.
,Kokulan; V.; Macrae; M.L.; Lobb; D.A. and Ali; G.A. Contribution of different flowpaths to hydrochemical export in the Northern Great Plains. Journal of Environmental Quality (in press).
10.1002/hyp.13292,Kompanizare; M.; Petrone; R. M.; Shafii; M.; Robinson; D. T.; & Rooney; R. C. (2018). Effect of climate change and mining on hydrological connectivity of surficial layers in the Athabasca Oil Sands Region. Hydrological Processes; 32(25); 3698-3716.
10.1002/hyp.13292,Kompanizare; M.; Petrone; R.; Shafii; M.; Robinson; D.; Rooney; R.; “Effect of climate change and mining on hydrological connectivity of surficial layers in the Athabasca Oil Sands Region�. Hydrological Processes (2018) 32(25); pp. 3698-3716.
,Krantzberg; G. (2019). Stormwater as an Asset: Perspectives on Climate Change Resilience and Infrastructure Innovations. Renew Canada.
,Krinner G; Derksen C; Essery R; Flanner M; Hagemann S; Clark M; Hall A; Rott H; Brutel-Vuilmet C; Kim H; Ménard CB; Mudryk L; Thacheray C; Wang L; Arduini G; Balsamo G; Bartlett P; Boike J; Boone A; Chéruy F; Colin J; Cuntz M; Dai Y; Decharme B; Derry J; Ducharne A; Dutra E; Fang X; Fierz C; Ghattas J; Gusev Y; Haverd V; Kontu A; Lafaysse M; Law R; Lawrence D; Li W; Marke T; Marks D; Ménégoz M; Nasonova O; Nitta T; Niwano M; Pomeroy J; Raleigh MS; Schaedler G; Semenov V; Smirnova TG; Stacke T; Strasser U; Svenson S; Turkov D; Wang T; Wever N; Yuan H; Zhou W; Zhu D. 2018. ESM-Snow MIP: assessing snow models and quantifying snow-related climate feedbacks; Geoscientific Model Development; 11: 5027 - 5049.
,Krinner G; Derksen C; Essery R; Flanner M; Hagemann S; Clark M; Hall A; Rott H; Brutel-Vuilmet C; Kim H; Ménard CB; Mudryk L; Thacheray C; Wang L; Arduini G; Balsamo G; Bartlett P; Boike J; Boone A; Chéruy F; Colin J; Cuntz M; Dai Y; Decharme B; Derry J; Ducharne A; Dutra E; Fang X*; Fierz C; Ghattas J; Gusev Y; Haverd V; Kontu A; Lafaysse M; Law R; Lawrence D; Li W; Marke T; Marks D; Ménégoz M; Nasonova O; Nitta T; Niwano M; Pomeroy J; Raleigh MS; Schaedler G; Semenov V; Smirnova TG; Stacke T; Strasser U; Svenson S; Turkov D; Wang T; Wever N; Yuan H; Zhou W; Zhu D; (2018). ESM-Snow MIP: assessing snow models and quantifying snow-related climate feedbacks; Geoscientific Model Development; 11: 5027 - 5049.
,Krinner G; Derksen C; Essery R; Flanner M; Hagemann S; Clark M; Hall A; Rott H; Brutel-Vuilmet C; Kim H; Ménard CB; Mudryk L; Thacheray C; Wang L; Arduini G; Balsamo G; Bartlett P; Boike J; Boone A; Chéruy F; Colin J; Cuntz M; Dai Y; Decharme B; Derry J; Ducharne A; Dutra E; *Fang X; Fierz C; Ghattas J; Gusev Y; Haverd V; Kontu A; Lafaysse M; Law R; Lawrence D; Li W; Marke T; Marks D; Ménégoz M; Nasonova O; Nitta T; Niwano M; Pomeroy J; Raleigh MS; Schaedler G; Semenov V; Smirnova TG; Stacke T; Strasser U; Svenson S; Turkov D; Wang T; Wever N; Yuan H; Zhou W; Zhu D; (2018). ESM-Snow MIP: assessing snow models and quantifying snow-related climate feedbacks; Geoscientific Model Development; 11: 5027 - 5049.
10.5194/gmd-11-5027-2018,Krinner; G.; Derksen; C.; Essery; R.; Flanner; M.; Hagemann; S.; Clark; M.; Hall; A.; Rott; H.; Brutel- Vuilmet; C.; Kim; H.; Ménard; C.B.; Mudryk; L.; Thacheray; C.; Wang; L.; Arduini; G.; Balsamo G; Bartlett P; Boike J; Boone A; Chéruy F; Colin J; Cuntz M; Dai Y; Decharme B; Derry J; Ducharne A; Dutra E; *Fang X; Fierz C; Ghattas J; Gusev Y; Haverd V; Kontu A; Lafaysse M; Law R; Lawrence D; Li W; Marke T; Marks D; Ménégoz M; Nasonova O; Nitta T; Niwano M; Pomeroy J; Raleigh MS; Schaedler G; Semenov V; Smirnova TG; Stacke T; Strasser U; Svenson S; Turkov D; Wang T; Wever N; Yuan H; Zhou; Zhu D; (2018). ESM-Snow MIP: assessing snow models and quantifying snow-related climate feedbacks; Geoscientific Model Development; 11: 5027 - 5049.
,Krogh S; Pomeroy J; (2019). Impact of future climate and vegetation on the hydrology of an Arctic headwater basin at the tundra-taiga transition; Journal of Hydrometeorology; 20: 197 - 215.  0.1175/JHM-D-18-0187.1.
10.5194/hess-22-3993-2018,Krogh SA; Pomeroy JW; (2018). Recent Changes to the Hydrological Cycle of an Arctic basin at the Tundra-Taiga Transition; Hydrology and Earth System Sciences; 22: 3993 - 4014.  org/
10.5194/hess-22-3993-2018,Krogh; S. A.; & Pomeroy; J. W. (2018). Recent changes to the hydrological cycle of an Arctic basin at the tundra–taiga transition. Hydrology and Earth System Sciences; 22(7); 3993-4014.  org/
,Krogh; S. A.; & Pomeroy; J. W. (2019). Impact of Future Climate and Vegetation on the Hydrology of an Arctic Headwater Basin at the Tundra–Taiga Transition. Journal of Hydrometeorology; 20(2); 197-215.  0.1175/JHM-D-18-0187.1
10.3389/fenvs.2019.00010,Kythreotis A.P.; Mantyka-Pringle C.; Mercer T.G.; Whitmarsh L.E.; Corner A.; Paavola J.; Chambers C.D.; Miller B.; Light A. and Castree N. (2019) Citizen Social Science for more integrative and effective climate action and policy. Frontiers in Environmental Science. 7: 1-10.
,L. Chen; Y. Li; F. Chen; M.l. Barlage; Z. Zhang; Z. Li; 2018: Using 4-km WRF CONUS simulations to assess impacts of the surface coupling strength on regional climate simulation. Submitted; Climate Dynamics (in revision).
10.1007/s00382-019-04754-9,L. Scaff; A. F. Prein; Y. Li; C. Liu; R. Rasmussen; K. Ikeda; 2019: Simulating the diurnal cycle of convective precipitation in North America’s current and future climate with a convection- permitting model; Climate Dynamics;
10.1002/2017GL075974,Leonard; R. M.; Kettridge; N.; Devito; K. J.; Petrone; R. M.; Mendoza; C. A.; Waddington; J. M.; & Krause; S. (2018). Disturbance Impacts on Thermal Hot Spots and Hot Moments at the Peatland Atmosphere Interface. Geophysical Research Letters; 45(1); 185-193.
,Leroux NR; Pomeroy JW; (2018). Simulation of Capillary Pressure Overshoot in Snow Combining Trapping of the Wetting Phase with a Nonequilibrium Richards Equation Model; Water Resources Research; 55(1): 1 - 13.  10.1029-2018-WR022969.
,Leroux NR; Pomeroy JW; Helgason WD; (2018). Impact of Heat Convection Induced by Topography-Driven Air Ventilation on Snow Surface Temperature. Paper presented at 75th Eastern Snow Conference (pp.20-26)
10.1029/2018WR022969,Leroux NR; Pomeroy JW. 2018. Simulation of Capillary Pressure Overshoot in Snow Combining Trapping of the Wetting Phase with a Nonequilibrium Richards Equation Model; Water Resources Research; 55(1): 1 - 13.  10.1029-2018-WR022969
,Leroux; N.R.; Pomeroy; J.W.; Helgason; W.D.; (2018). Impact of Heat Convection Induced by Topography-Driven Air Ventilation on Snow Surface Temperature. Paper presented at 75th Eastern Snow Conference (pp.20-26).
10.1029/2019GL082908,Li; C.; F.W. Zwiers; X. Zhang; G. Chen; G. Li; J. Norris; Y. Tan; 2019b: Larger increases in more extreme local precipitation events in a warmer climate. Submitted; Geophysical Research Letters (in revision).
10.1029/2018EF001001,Li; C.; F.W. Zwiers; X. Zhang; G. Li; 2019a: How much information is required to well-constrain local estimates of future precipitation extremes? Earth’s Future; https://doi. org/
10.1016/j.envpol.2018.11.007,Li; C.-C.; W.-Y. Feng; H.-Y. Chen; X.-F. Li; F.-H. Song; W.-J. Guo; J.P. Giesy and F.-H. Sun. 2019. Temporal Variation in Zooplankton and Phytoplankton Community Species Composition and the Affecting Factors of Lake Taihu-a Large Freshwater Lake in China. Environ. Pollut. 245:1050-1057. org/
10.1039/c8cc07062h,Li; D.; Liu; B.; Huang; P-J. J.; Zhang; Z.; Liu; J. Highly Active Fluorogenic Oxidase-Mimicking NiO Nanozymes; Chem. Commun.; 2018; 54; 12519-12522.
10.1111/gcb.14297,Li; X.; Xiao J.; He; B.; Arain; M.A.; Beringer; J.; Desai; A.R.; Emmel; C.; Hollinger; D.Y.; Krasnova; A.; Mammarella; I.; Noe; S.M.; Ortiz; P.S.; Rey-Sanchez; A.C.; Rocha; A.V.; & Varlagin; A. (2018). Solar-induced chlorophyll fluorescence is strongly correlated with terrestrial photosynthesis for a wide variety of biomes: First global analysis based on OCO-2 and flux tower observations. Global Change Biology; 24(9); 3990-4008.
10.1111/gcb.14297,Li; X.; Xiao J.; He; B.; Arain; M.A.; Beringer; J.; Desai; A.R.; Emmel; C.; Hollinger; D.Y.; Krasnova; A.; Mammarella; I.; Noe; S.M.; Ortiz; P.S.; Rey-Sanchez; A.C.; Rocha; A.V.; & Varlagin; A. (2018). Solar-induced chlorophyll fluorescence is strongly correlated with terrestrial photosynthesis for a wide variety of biomes: First global analysis based on OCO-2 and flux tower observations. Global Change Biology; 24(9); 3990-4008.
10.5194/hess-22-5057-2018,Li; Z.; Li; Y.; Bonsal; B.; Manson; A.; Scaff; L.; 2018. Combined Impacts of ENSO and MJO on the 2015 Growing Season Drought over the Canadian Prairies; Hydrol. Earth Syst. Sci.; 22; 5057–5067.
,Liang Chen; Yanping Li; Fei Chen; Michael Barlage; Zhe Zhang; Zhenhua Li; (2018): Using 4-km WRF CONUS simulations to assess impacts of the surface coupling strength on regional climate simulation; Climate Dynamics; MS No. CLDY-D-18-00001; (in revision)
10.3390/rs11030307,Lindenschmidt; K.-E. and Li; Z. (2019) Radar scatter decomposition to differentiate between running ice accumulations and intact ice covers along rivers. Remote Sensing 11: 307. https://dx.doi.org/
10.3390/w11010095,Lindenschmidt; K.-E.; Carstensen; D.; Fröhlich; W.; Hentschel; B.; Iwicki; S.; Kögel; K.; Kubicki; M.; Kundzewicz; Z.W.; Lauschke; C.; t.azarów; A.; t.oś; H.; Marszelewski; W.; Niedzielski; T.; Nowak; M.; Pawłowski; B.; Roers; M.; Schlaffer; S. and Weintrit; B. (2019) Development of an ice-jam flood forecasting system for the lower Oder River – requirements for real-time predictions of water; ice and sediment transport. Water 11: 95. https://dx.doi.org/
10.2134/jeq2018.12.0437,Liu J.; Elliott; J.; Wilson; H.; and Baulch; H.; 2019 (in press). Impacts of soil phosphorus drawdown on snowmelt and rainfall runoff water quality. Journal of Environmental Quality.
10.2134/jeq2019.03.0119,Liu; J.; Elliott; J.; Baulch; H.; Macrae; M.L.; Wilson; H. Impacts of Crops and Crop Residues on Phosphorus Losses in Cold Climates: A Review. Journal of Environmental Quality (in press; submitted November 2018).
10.5194/hess-22-3903-2018,Liu; Y.; Zarfl; C.; Basu; N. B.; Schwientek; M.; and Cirpka; O. A. (2018). Contributions of catchment and in-stream processes to suspended sediment transport in a dominantly groundwater- fed catchment; Hydrol. Earth Syst. Sci.; 22; 3903-3921;
,Logar; I.; Brouwer; R. and Paillex; A. (2019). Do the societal benefits of river restoration outweigh their costs? A cost-benefit analysis. Journal of Environmental Management; 232: 1075- 1085. i. Data provided in the supplementary material.
10.5194/bg-15-5287-2018,Loranty; M.M.; Abbott; B.W.; Blok; D. et al. incl. Sonnentag; O. (2018); Changing ecosystem influences on soil thermal regimes in northern high-latitude permafrost regions. Biogeosciences; 15; 5287-5313.
,Lucia Scaff; Andreas F. Prein; Yanping Li; Changhai Liu; Roy Rasmussen; Kyoko Ikeda; (2019): Simulating the diurnal cycle of convective precipitation in North America’s current and future climate with a convection- permitting model; Climate Dynamics; (in press)
10.1002/2017JG003978,Luo; X.; Chen; J.M.; Liu; J.; Black; A.; Croft; H.; Staebler; R.; He; L.; Arain; A.; Chen; B.; Mo; G.; Gonsamo; A.; & Harry; M. (2018). Comparison of Big-Leaf; Two-Big-Leaf; and Two-Leaf Upscaling Schemes for Evapotranspiration Estimation Using Coupled Carbon-Water Modeling. Journal of Geophysical Research: Biogeosciences; 123; 207-225.
10.1002/2017JG003978,Luo; X.; Chen; J.M.; Liu; J.; Black; A.; Croft; H.; Staebler; R.; He; L.; Arain; A.; Chen; B.; Mo; G.; Gonsamo; A.; & Harry; M. (2018). Comparison of Big-Leaf; Two-Big-Leaf; and Two-Leaf Upscaling Schemes for Evapotranspiration Estimation Using Coupled Carbon-Water Modeling. Journal of Geophysical Research: Biogeosciences; 123; 207-225.
10.1016/j.scitotenv.2017.12.024,Maavara; T.; Slowinski; S.; Rezanezhad; F.; Van Meter; K.; and Van Cappellen; P. (2018). The role of groundwater discharge fluxes on Si:P ratios in a major tributary to Lake Erie. Science of the Total Environment; 622-623; 814-824.
,Macrae; Merrin L.; "Temporal variability in nutrient transport in a first-order agricultural basin in southern Ontario" (2004). Theses and Dissertations (Comprehensive). 492. https://scholars.wlu.ca/etd/492
10.1016/j.envsoft.2018.11.018,Maier H.R.; Razavi S.; Kapelan; Z.; Matott L.S.; Kasprzyk J.; and Tolson; B.A.; (2019); Introductory Overview: Optimization using Evolutionary Algorithms and other Metaheuristics; Environmental Modelling & Software (Invited Contribution).
10.1145/3290605.3300870,Mairena; A.; Gutwin; C.; and Cockburn; A. (2019) Peripheral Notifications in Large Displays: Effects of Feature Combination and Task Interference; Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI 2019); ACM Press; in press.
10.1111/ddi.12990,Mantyka-Pringle C; Leston L; Messmer D; Asong E; Bortolotti L; Bayne E; Sekulic G; Wheater H; Howerter D & Clark R. Antagonistic; Synergistic and Direct Effects of Land Use and Climate on Aquatic and Avian Communities: Ghosts of the Past or Present? Diversity & Distributions. In review.
10.1002/etc.3986,Marjan; P.; G.J. Van Der Kraak; D.L. MacLatchy; M.L.M. Fuzzen; L.M. Bragg; M.E. McMaster; G.R. Tetreault and M.R. Servos. 2018. Assessing recovery of in vitro steroid production in male rainbow darter (Etheostoma caeruleum) in response to municipal wastewater treatment plant infrastructure changes. Environmental Toxicology and Chemistry. 37(2):501-514. http://doi.org/
,Markelov; I.; Couture; R.M.; Fisher; R.; Haande; S.; and Van Cappellen; P. (2019). Coupling Water Column Dynamics with Sediment Diagenesis to Model the Response of Lakes to Climate Change; Internal Loads and Restoration Measures. Journal of Geophysical Research – Biogeosciences. (Submitted and Under Review). i. Published Data: see D1 (Data  http://dx.doi.org/
10.1016/j.cageo.2018.06.009,Marsh CB; Spiteri RJ; Pomeroy JW; Wheater HS; (2018). Multi-objective unstructured triangular mesh generation for use in hydrological and land surface models; Computers and Geosciences; 119: 49 - 67.  org/
10.1016/j.cageo.2018.06.009,Marsh CB; Spiteri RJ; Pomeroy JW; Wheater HS; 2018. Multi-objective unstructured triangular mesh generation for use in hydrological and land surface models; Computers and Geosciences; 119: 49 - 67.  https://
10.1016/j.cageo.2018.06.009,Marsh CB; Spiteri RJ; Pomeroy JW; Wheater HS. 2018. Multi-objective unstructured triangular mesh generation for use in hydrological and land surface models; Computers and Geosciences; 119: 49 - 67.  org/
10.1016/j.cageo.2018.06.009,Marsh; C. B.; Spiteri; R. J.; Pomeroy; J. W.; & Wheater; H. S. (2018). Multi-objective unstructured triangular mesh generation for use in hydrological and land surface models. Computers & geosciences; 119; 49-67.  org/
10.1016/j.cageo.2018.06.009,Marsh; C.B.; Spiteri; R.J.; Pomeroy; J.W. ; and Wheater; H.S (2018). Multi-objective unstructured triangular mesh generation for use in hydrological models; Computers andGeosciences; 119; pp. 49-67.
10.1111/conl.12604,Martin T.G.; Kehoe L.; Mantyka-Pringle C.; Chades I.; Wilson S.; Bloom R.; David S.; Fisher R.; Mehl K.; Prieto D.; Wayland M.; Wellicome T.; Zimmer K.; and Smith P. (2018) Prioritizing recovery funding to maximize conservation of endangered species. Conservation Letters.
10.5194/gi-7-195-2018,Mavrovic; A.; Roy; A.; Royer; A.; Filali; B.; Boone; F.; Pappas; C.; Sonnentag; O. (2018); Di-electric characterization of vegetation at L-band using an open-ended coaxial probe. Geoscientific Instrumentation; Methods and Data Systems; 7; 195-208.
10.1007/s11273-018-9636-5,Mayner; K. M.; Moore; P. A.; Wilkinson; S. L.; Petrone; R. M.; & Waddington; J. M. (2018). Delineating boreal plains bog margin ecotones across hydrogeological settings for wildfire risk management. Wetlands Ecology and Management; 26(6); 1037-1046.
10.1016/j.foreco.2018.03.042,McKenzie; S.M.; Slater; G.; Kim; S-T.; Pisaric; M.; & Arain; M. (2018). Influence of seasonal temperature on tree-ring δ13C in different-aged temperate pine forests. Forest Ecology and Management; 419–420; 197–205.
10.1016/j.foreco.2018.03.042,McKenzie; S.M.; Slater; G.; Kim; S-T.; Pisaric; M.; & Arain; M. (2018). Influence of seasonal temperature on tree-ring δ13C in different-aged temperate pine forests. Forest Ecology and Management; 419 420; 197–205.
,Md. Anaytul Islam; Moksedul Islam; Manishankar Mondal; Banani Roy; Chanchal K. Roy; Kevin A. Schneider. Detecting Evolutionary Coupling Using Transitive Association Rules. In Proc. of the 18th IEEE International Working Conference on Source Code Analysis and Manipulation (SCAM 2018); pp. 113-122; Madrid; Spain; September 2018.
10.1101/570275,Megan L. Larsen; Helen M. Baulch; Sherry L. Schiff; Dana F. Simon; Sébastien Sauvé; Jason J. Venkiteswaran. 2019. Extreme midsummer rainfall event drives early onset cyanobacterial bloom. bioRxiv 570275;
10.1016/j.cbpb.2017.11.011,Mehdi; H.; F.H. Dickson; L.M. Bragg; M.R. Servos; P.M. Craig. 2018. Impacts of wastewater treatment plant effluent on energetics and stress response of rainbow darter (Etheostoma caeruleum) in the Grand River watershed. Comparative Biochemistry and Physiology; Part B 224:270-279.
10.1029/2018GL080942,Menounos B; Hugonnet R; Shean E; Gardner A; Howat I; Berthier E; Pelto B; Tennant C; Shea J; Noh M; Brun F; Dehecq A. 2018. Heterogeneous changes in western North American glaciers linked to decadal variability in zonal wind strength. Geophysical Research Letters.
10.5194/bg-2017-393,Migliavacca; M.; Montagnani; L.; Oechel; W.; Pavelka; M.; Peichl; M.; Rambal; S.; Raschi; A.; Scott; R. L.; Vaccari; F. P.; van Gorsel; E.; Varlagin; A.; Wohlfahrt; G.; & Mahecha; M. D. (2018). Impacts of droughts and extreme temperature events on gross primary production and ecosystem respiration: a systematic assessment across ecosystems and climate zones; Biogeosciences Discussion; 15; 1293-1318. doi.org/
10.2136/vzj2018.04.0084,Mohammed; A.A.; Kurylyk; B.L.; Cey; E.E. and Hayashi; M. (2018) Snowmelt infiltration and macropore flow in frozen soils: overview; knowledge gaps and a conceptual framework. Vadose Zone Journal; 17: 180084.
10.1145/3206505,Mollashahi; E.; Uddin; S.; and Gutwin; C. (2018). Improving revisitation in long documents with two-level artificial-landmark scrollbars. Proceedings of the 2018 International Conference on Advanced Visual Interfaces (AVI '18). ACM Press; 1-9.
,Molot L; Schiff S.; Venkiteswaran J.; Baulch H; Higgins S.; Zastepa A; Verschoor M.; Walters D. Guiding principles for preventing and mitigating cyanobacteria blooms: integrating nutrient limitation and sediment redox science into watershed management. Submission summer 2019 (currently in revision).
,Monthly Variations of Unregulated Brominated Disinfection By-Products are Primarily Associated with Total Bromine in Chlorinated Water (2018). Christena Watts; Jianxian Sung; Paul D. Jones; John P. Giesy; Hui Peng (Environ. Sci. Technol. SUBMITTED)
10.3390/w10101438,Morales-Marín; L.; Wheater; H. and Lindenschmidt; K.-E. (2018) Potential changes of annual- averaged nutrient export in the South Saskatchewan River basin under climate and land- use change scenarios. Water 10: 1438. http://dx.doi.org/
10.1016/j.envsoft.2019.01.009,Morales-Marín; L.A.; Sanyal; P.R.; Kadowaki; H.; Li; Z.; Rokaya; P. and Lindenschmidt; K.-E. (2019) A hydrological and water temperature modelling framework to simulate the timing of river freeze-up and ice-cover  breakup  in large-scale  catchments.  Environmental  Modeling   and Software 114: 49–63.
,Natali; S.M.; Watts; J.D.; Potter; S. et al. incl. Sonnentag; O. Substantial winter CO2 losses shift the Arctic to a carbon source under current and future climates. Nature Climate Change; in review.
